round,registry,municipality,uf,municipality_code,neighborhood,sector_code,interviews,region
07/09,BR-01720/2026,Alpinópolis,MG,3101904,Santa Efigenia,310190405000009,6,Sudeste
07/09,BR-01720/2026,Alpinópolis,MG,3101904,Zona Rural,310190405000057,6,Sudeste
07/09,BR-01720/2026,América Dourada,BA,2901155,Nova America,290115505000015,6,Nordeste
07/09,BR-01720/2026,América Dourada,BA,2901155,Soares De Baixo,290115520000004,6,Nordeste
07/09,BR-01720/2026,Ananindeua,PA,1500800,Aguas Lindas,150080005000053,6,Norte
07/09,BR-01720/2026,Ananindeua,PA,1500800,Quinta Das Carmitas,150080005000305,6,Norte
07/09,BR-01720/2026,Ananindeua,PA,1500800,Carlos Mariguela,150080005000631,6,Norte
07/09,BR-01720/2026,Angra dos Reis,RJ,3300100,Morro Do Santo Antônio,330010005000182,6,Sudeste
07/09,BR-01720/2026,Angra dos Reis,RJ,3300100,Nova Angra,330010015000239,6,Sudeste
07/09,BR-01720/2026,Antônio Cardoso,BA,2901700,Centro,290170005000008,6,Nordeste
07/09,BR-01720/2026,Antônio Cardoso,BA,2901700,Limoeiro,290170015000016,6,Nordeste
07/09,BR-01720/2026,Anápolis,GO,5201108,Nova Alexandrina,520110805000107,6,Centro-Oeste
07/09,BR-01720/2026,Anápolis,GO,5201108,Arco Verde,520110805000315,6,Centro-Oeste
07/09,BR-01720/2026,Anápolis,GO,5201108,Santo Andre,520110805000528,6,Centro-Oeste
07/09,BR-01720/2026,Aracaju,SE,2800308,Olaria,280030805000277,6,Nordeste
07/09,BR-01720/2026,Aracaju,SE,2800308,Jardim Centenário,280030805000704,6,Nordeste
07/09,BR-01720/2026,Aracaju,SE,2800308,São Conrado,280030805001314,6,Nordeste
07/09,BR-01720/2026,Araioses,MA,2100907,Nova Conceicao,210090705000004,6,Nordeste
07/09,BR-01720/2026,Araioses,MA,2100907,Zona Rural,210090705000052,6,Nordeste
07/09,BR-01720/2026,Araioses,MA,2100907,Baixao Da Subida,210090705000092,6,Nordeste
07/09,BR-01720/2026,Araranguá,SC,4201406,Polícia Rodoviária,420140605000040,6,Sul
07/09,BR-01720/2026,Araranguá,SC,4201406,Santa Rosa De Lima,420140605000096,6,Sul
07/09,BR-01720/2026,Araranguá,SC,4201406,Rio Dos Anjos,420140610000005,6,Sul
07/09,BR-01720/2026,Astolfo Dutra,MG,3104601,Zona Rural,310460105000013,6,Sudeste
07/09,BR-01720/2026,Astolfo Dutra,MG,3104601,Sebastiao Romao Claudiano,310460110000003,6,Sudeste
07/09,BR-01720/2026,Açailândia,MA,2100055,Nova Acailandia Ii,210005505000159,6,Nordeste
07/09,BR-01720/2026,Açailândia,MA,2100055,Vila Bertele,210005505000209,6,Nordeste
07/09,BR-01720/2026,Açailândia,MA,2100055,Centro,210005505000306,6,Nordeste
07/09,BR-01720/2026,Barra Velha,SC,4202107,Centro,420210705000073,6,Sul
07/09,BR-01720/2026,Barra Velha,SC,4202107,Itajuba,420210705000113,6,Sul
07/09,BR-01720/2026,Barra Velha,SC,4202107,Escalvado,420210705000117,6,Sul
07/09,BR-01720/2026,Barras,PI,2201200,Riachinho,220120005000002,6,Nordeste
07/09,BR-01720/2026,Barras,PI,2201200,Zona Rural,220120005000041,6,Nordeste
07/09,BR-01720/2026,Barras,PI,2201200,Residencial São Francisco,220120005000099,6,Nordeste
07/09,BR-01720/2026,Bastos,SP,3505807,Jardim Esplanada,350580705000009,6,Sudeste
07/09,BR-01720/2026,Bastos,SP,3505807,Jardim Novo Bastos,350580705000060,6,Sudeste
07/09,BR-01720/2026,Bauru,SP,3506003,Bacia Do Córrego Água Da Ressaca,350600305000105,6,Sudeste
07/09,BR-01720/2026,Bauru,SP,3506003,Bacia Do Córrego Do Pau D'alho,350600305000431,6,Sudeste
07/09,BR-01720/2026,Belford Roxo,RJ,3300456,Nova Aurora,330045605020216,6,Sudeste
07/09,BR-01720/2026,Belford Roxo,RJ,3300456,Vale Do Ipê,330045605050168,6,Sudeste
07/09,BR-01720/2026,Belo Horizonte,MG,3106200,Santa Rita De Cássia,310620005620726,6,Sudeste
07/09,BR-01720/2026,Belo Horizonte,MG,3106200,Colégio Batista,310620005630276,6,Sudeste
07/09,BR-01720/2026,Belo Horizonte,MG,3106200,Camargos,310620005670760,6,Sudeste
07/09,BR-01720/2026,Belo Horizonte,MG,3106200,Paquetá,310620005680559,6,Sudeste
07/09,BR-01720/2026,Belo Horizonte,MG,3106200,Rio Branco,310620060690034,6,Sudeste
07/09,BR-01720/2026,Belém,PA,1501402,Tenoné,150140245000540,6,Norte
07/09,BR-01720/2026,Belém,PA,1501402,Agulha,150140260000035,6,Norte
07/09,BR-01720/2026,Belém,PA,1501402,Sacramenta,150140275000359,6,Norte
07/09,BR-01720/2026,Bocaiúva do Sul,PR,4103107,Vila Angelica,410310705000022,6,Sul
07/09,BR-01720/2026,Bocaiúva do Sul,PR,4103107,Jardim Cruzeiro,410310705000031,6,Sul
07/09,BR-01720/2026,Bocaiúva do Sul,PR,4103107,Zona Rural,410310705000050,6,Sul
07/09,BR-01720/2026,Brasnorte,MT,5101902,Santo Amaro,510190205000005,6,Centro-Oeste
07/09,BR-01720/2026,Brasnorte,MT,5101902,Zona Rural,510190205000024,6,Centro-Oeste
07/09,BR-01720/2026,Brasnorte,MT,5101902,Agua Da Prata,510190210000001,6,Centro-Oeste
07/09,BR-01720/2026,Brasília,DF,5300108,Taguatinga,530010805080193,6,Centro-Oeste
07/09,BR-01720/2026,Brasília,DF,5300108,Planaltina,530010805110136,6,Centro-Oeste
07/09,BR-01720/2026,Brasília,DF,5300108,Ceilândia,530010805150683,6,Centro-Oeste
07/09,BR-01720/2026,Brasília,DF,5300108,Sol Nascente/Pôr Do Sol,530010805310151,6,Centro-Oeste
07/09,BR-01720/2026,Brasília,DF,5300108,Itapoã,530010805380013,6,Centro-Oeste
07/09,BR-01720/2026,Cabo de Santo Agostinho,PE,2602902,Malaquias,260290205000013,6,Nordeste
07/09,BR-01720/2026,Cabo de Santo Agostinho,PE,2602902,Serraria,260290205000226,6,Nordeste
07/09,BR-01720/2026,Cabo de Santo Agostinho,PE,2602902,Pontezinha,260290215000056,6,Nordeste
07/09,BR-01720/2026,Cachoeiras de Macacu,RJ,3300803,Centro-Japuíba,330080305000167,6,Sudeste
07/09,BR-01720/2026,Cachoeiras de Macacu,RJ,3300803,Viracopos,330080305000282,6,Sudeste
07/09,BR-01720/2026,Camaragibe,PE,2603454,Vila Da Fábrica,260345405060117,6,Nordeste
07/09,BR-01720/2026,Camaragibe,PE,2603454,Santana,260345405070083,6,Nordeste
07/09,BR-01720/2026,Camaragibe,PE,2603454,Aldeia Dos Camarás,260345405100053,6,Nordeste
07/09,BR-01720/2026,Campinas,SP,3509502,Parque Oziel,350950205001311,6,Sudeste
07/09,BR-01720/2026,Campinas,SP,3509502,Parque Uniao Da Vitoria,350950230000119,6,Sudeste
07/09,BR-01720/2026,Campo Formoso,BA,2906006,Colina Do Sol,290600605000017,6,Nordeste
07/09,BR-01720/2026,Campo Formoso,BA,2906006,Zona Rural,290600605000128,6,Nordeste
07/09,BR-01720/2026,Campo Grande,MS,5002704,Nasser,500270405080093,6,Centro-Oeste
07/09,BR-01720/2026,Campo Grande,MS,5002704,América,500270405110188,6,Centro-Oeste
07/09,BR-01720/2026,Campo Grande,MS,5002704,Tarumã,500270405130083,6,Centro-Oeste
07/09,BR-01720/2026,Campo Largo,PR,4104204,Rondinha,410420405000042,6,Sul
07/09,BR-01720/2026,Campo Largo,PR,4104204,Tres Rios,410420405000156,6,Sul
07/09,BR-01720/2026,Campo Largo,PR,4104204,Jardim Guarani,410420415000011,6,Sul
07/09,BR-01720/2026,Campo Mourão,PR,4104303,Jardim Santa Cruz,410430305020008,6,Sul
07/09,BR-01720/2026,Campo Mourão,PR,4104303,Jardim Ilha Bela,410430305030022,6,Sul
07/09,BR-01720/2026,Campo Mourão,PR,4104303,Jardim Pio Xii,410430305050030,6,Sul
07/09,BR-01720/2026,Candeias,MG,3112000,Rio Branco,311200005000006,6,Sudeste
07/09,BR-01720/2026,Candeias,MG,3112000,Alto Do Cruzeiro,311200005000049,6,Sudeste
07/09,BR-01720/2026,Canoas,RS,4304606,Niterói,430460605000151,6,Sul
07/09,BR-01720/2026,Canoas,RS,4304606,Estância Velha,430460605000368,6,Sul
07/09,BR-01720/2026,Canoas,RS,4304606,Igara,430460605000609,6,Sul
07/09,BR-01720/2026,Capão do Leão,RS,4304663,Centro,430466305000001,6,Sul
07/09,BR-01720/2026,Capão do Leão,RS,4304663,Jardim América,430466305000019,6,Sul
