2018_DEPUTADO ESTADUAL_1_total,2018_DEPUTADO FEDERAL_1_total,2018_GOVERNADOR_1_total,2018_GOVERNADOR_2_total,2018_PRESIDENTE_1_total,2018_PRESIDENTE_2_total,2018_SENADOR_1_total,2022_DEPUTADO ESTADUAL_1_total,2022_DEPUTADO FEDERAL_1_total,2022_GOVERNADOR_1_total,2022_GOVERNADOR_2_total,2022_PRESIDENTE_1_total,2022_PRESIDENTE_2_total,2022_SENADOR_1_total,carla_2018_1,carla_2022_1,diferenca_governo_presidente_pp,eduardo_2018_1,eduardo_2022_1,eleitorado,gil_2018_1,gil_2022_1,haddad_2022_1,haddad_2022_2,id,jair_2018_1,jair_2018_1_pct,jair_2018_2,jair_2018_2_pct,jair_2022_1,jair_2022_1_pct,jair_2022_2,jair_2022_2_pct,mario_2022_1,mudanca_jair_pp,nome,pib_2023,pib_pc_2023,populacao,pt_2018_1,pt_2018_2,pt_2022_1,pt_2022_2,regiao,renda,tarcisio_2022_1,tarcisio_2022_1_pct,tarcisio_2022_2,tarcisio_2022_2_pct,virada
64725,67655,68439,72732,80704,78373,117243,74706,77495,79214,84409,88471,89451,74060,291,8434,0.6017857597694132,9266,3624,113851,835,799,17068,24504,3530706,54474,67.49851308485329,64012,81.67608742806834,56927,64.34537871166823,62945,70.3681345093962,504,-11.307952918672143,Mogi Guaçu,9433837649.0,61395.03,153658.0,6955,14361,23998,26506,Campinas,1747.34,45171,57.024010907162875,59905,70.96992026916561,Jair → Jair
38951,39849,40622,43443,47743,46409,70387,43420,45232,46216,49240,51826,52563,43238,184,3955,0.20528501073943062,6332,3165,67759,416,736,10152,14523,3530805,31820,66.64851391827074,37986,81.85050313516774,32982,63.63987187897966,36952,70.30040142305424,346,-11.550101712113502,Mogi Mirim,8092719130.0,87434.03,92558.0,3359,8423,13896,15611,Campinas,2026.17,27136,58.71559633027523,34717,70.50568643379367,Jair → Jair
2015,2046,2045,2201,2334,2296,3605,2132,2212,2192,2253,2433,2407,2047,2,76,0.6813792660886406,204,98,3151,21,6,467,711,3530904,1496,64.09597257926306,1788,77.87456445993031,1511,62.10439786272092,1631,67.76069796427088,22,-10.113866495659437,Mombuca,179188607.0,48143.1,3722.0,277,508,750,776,Campinas,1274.03,1193,54.425182481751825,1542,68.44207723035952,Jair → Jair
1188,1265,1181,1261,1400,1339,1968,1364,1365,1376,1449,1521,1550,1283,3,24,-0.3277009728622673,45,23,2124,6,5,395,575,3531001,697,49.785714285714285,900,67.21433905899926,806,52.99145299145299,940,60.645161290322584,1,-6.569177768676674,Monções,77880840.0,40206.94,1937.0,269,439,576,610,Araçatuba,1338.77,617,44.84011627906977,874,60.317460317460316,Jair → Jair
22341,23915,24721,26635,27653,27083,42181,28728,30984,31128,31961,33522,33414,29172,70,730,1.413622336720394,2654,752,50648,250,170,11578,15016,3531100,15295,55.310454561892016,18364,67.80637300151386,15084,44.997315195990694,17243,51.60411803435686,116,-16.202254967157003,Mongaguá,1535905805.0,24792.27,61951.0,4745,8719,15100,16171,São Paulo,1287.82,13495,43.3532510922642,16945,53.01774037107725,Jair → Jair
3703,3759,3837,3985,4364,4213,6812,4120,4321,4362,4578,4824,4840,4104,20,311,0.8350573529889544,456,192,6349,33,72,902,1443,3531209,2747,62.94683776351971,3389,80.44149062425825,2915,60.427031509121065,3274,67.64462809917356,21,-12.796862525084691,Monte Alegre do Sul,304555388.0,35302.58,8627.0,320,824,1410,1566,Campinas,1992.61,2462,56.441999082989454,3135,68.47968545216251,Jair → Jair
20687,20789,21246,22805,25042,24589,36364,22277,23774,24145,25720,27002,27661,22322,72,1064,0.6667023032636337,1932,847,36101,204,200,4669,7627,3531308,15957,63.72094880600591,19985,81.27618040587255,16803,62.22872379823717,19274,69.67933191135533,134,-11.596848494517218,Monte Alto,3062782095.0,64379.33,47574.0,1898,4604,7611,8387,Ribeirão Preto,1861.15,11824,48.97080140815904,18093,70.34603421461897,Jair → Jair
9439,9879,9823,10706,11610,11487,16423,10835,11309,11824,12519,12853,13171,10917,17,496,0.73085538938372,974,500,17014,64,84,2960,4392,3531407,7135,61.455641688199826,8523,74.19691825541916,7499,58.34435540340777,8454,64.1864702756055,44,-10.010447979813662,Monte Aprazível,1038559710.0,46613.99,22280.0,1680,2964,4388,4717,São José do Rio Preto,1691.5,5805,49.09506089309878,8127,64.91732566498922,Jair → Jair
8502,8644,8597,9004,10122,9671,14912,9293,9637,9981,10141,10815,10860,9085,40,327,2.1710121177220714,638,343,14281,60,65,1861,3219,3531506,6202,61.272475795297375,7408,76.60014476269258,6442,59.56541840036986,7177,66.0865561694291,41,-10.513588593263478,Monte Azul Paulista,958013847.0,52780.22,18151.0,1142,2263,3512,3683,Ribeirão Preto,1799.99,3977,39.8457068430017,6922,68.25756828715117,Jair → Jair
2078,2233,2180,2267,2474,2392,3770,2365,2501,2536,2643,2721,2735,2347,4,55,0.9748768953345817,87,58,3332,7,14,909,1245,3531605,1235,49.91915925626516,1439,60.15886287625418,1306,47.99705990444689,1420,51.91956124314442,5,-8.239301633109761,Monte Castelo,161947180.0,38357.93,4222.0,746,953,1288,1315,Presidente Prudente,1402.16,1084,42.74447949526814,1398,52.894438138479,Jair → Jair
2356,2425,2494,2416,2680,2505,4435,2586,2768,2801,2850,2943,2964,2653,5,92,1.6518218623481786,124,70,3840,6,9,918,1276,3531704,1307,48.76865671641791,1661,66.30738522954091,1386,47.09480122324159,1588,53.57624831309042,9,-12.731136916450495,Monteiro Lobato,113890985.0,27523.2,4138.0,390,844,1286,1376,São José dos Campos,1471.13,1049,37.450910389146735,1574,55.228070175438596,Jair → Jair
21522,22680,23403,23992,27891,26901,39555,28251,29619,30330,32122,34171,34569,27810,437,1914,-0.090652733959665,2634,1274,47364,366,237,11690,14523,3531803,14804,53.07805385249722,17676,65.70759451321513,16563,48.470925638699484,18971,54.87864850010125,191,-10.828946013113878,Monte Mor,6049397718.0,93554.14,64662.0,6413,9225,14720,15598,Campinas,1367.63,13427,44.26969996702935,17599,54.787995766141584,Jair → Jair
11121,11911,11645,12622,13647,13287,19772,12892,13846,13533,14410,15293,15450,12442,12,269,1.5615279752239672,682,306,20202,116,40,4369,5996,3531902,7703,56.44463984758555,9198,69.2255588168887,7846,51.304518407114365,8780,56.82847896440129,15,-12.397079852487401,Morro Agudo,1980195494.0,70890.9,27933.0,2611,4089,6393,6670,Ribeirão Preto,1397.0,6213,45.90999778319663,8414,58.39000693962526,Jair → Jair
6388,6467,6474,7005,7634,7451,11380,6773,7091,7232,7701,8115,8254,6690,40,265,1.1995049906665685,1281,451,10618,256,161,1490,2423,3532009,5124,67.12077547812419,6096,81.81452154073278,4891,60.27110289587184,5558,67.33704870365884,52,-14.477472837073947,Morungaba,765640893.0,55804.73,13720.0,681,1355,2516,2696,Campinas,1680.58,3520,48.67256637168141,5278,68.5365536943254,Jair → Jair
2043,2102,2175,2170,2509,2407,3747,2230,2422,2407,2505,2659,2675,2266,1,48,-0.07484097226107878,174,61,3383,33,21,1102,1282,3532058,1215,48.425667596652055,1426,59.24387203988367,1157,43.512598721323805,1308,48.89719626168224,5,-10.34667577820143,Motuca,171027138.0,42396.42,4034.0,748,981,1319,1367,Araraquara,1479.74,933,38.7619443290403,1223,48.82235528942116,Jair → PT
2182,2100,2036,2151,2435,2343,3333,2346,2395,2436,2537,2591,2666,2273,7,61,1.455872442686946,99,62,3345,13,7,647,928,3532108,1452,59.630390143737166,1652,70.50789586000853,1503,58.008490930142806,1652,61.96549137284321,4,-8.54240448716532,Murutinga do Sul,113474072.0,30365.02,3737.0,540,691,964,1014,Araçatuba,1502.97,1076,44.17077175697865,1609,63.42136381553016,Jair → Jair
