uf,municipio,codigo_tse,eleitores_2026,bolsonaro_1t,bolsonaro_2t,lula_1t,lula_2t,ciro_tebet_1t,ganho_bolsonaro,ganho_lula,ganho_liquido_direita,bolsonaro_2t_pct
MA,SATUBINHA,8460,7487,1091,1167,3915,4035,247,76,120,-44,22.434
MG,PIAU,50016,3251,765,841,1496,1599,127,76,103,-27,34.467
MG,RIO DO PRADO,51012,4353,518,594,2197,2341,106,76,144,-68,20.239
MG,SANTA CRUZ DO ESCALVADO,51470,4890,948,1024,2543,2667,135,76,124,-48,27.743
MG,UNIÃO DE MINAS,42447,3159,882,958,1432,1478,72,76,46,30,39.327
MT,RESERVA DO CABAÇAL,98914,1835,689,765,554,567,91,76,13,63,57.432
MT,RIBEIRÃOZINHO,90441,2480,771,847,770,775,89,76,5,71,52.219
PB,TRIUNFO,22373,7622,588,664,4750,4900,199,76,150,-74,11.934
PE,SALGADINHO,25410,7158,1095,1171,3891,3921,156,76,30,46,22.997
PI,LAGOA DO BARRO DO PIAUÍ,10340,4657,324,400,3053,3109,83,76,56,20,11.399
AC,XAPURI,1490,12788,5142,5217,3774,3634,387,75,-140,215,58.942
BA,SÃO JOSÉ DA VITÓRIA,39926,5272,1266,1341,2139,2135,174,75,-4,79,38.579
BA,VARZEDO,39624,9478,1554,1629,5045,5264,287,75,219,-144,23.633
GO,ALOÂNDIA,92096,2170,789,864,705,748,103,75,43,32,53.598
MA,SAMBAÍBA,8931,5423,1150,1225,2998,2809,120,75,-189,264,30.367
MA,SÃO JOÃO DO CARÚ,8303,10152,1638,1713,5229,5304,234,75,75,0,24.412
MG,SEM PEIXE,40827,3769,647,722,1752,1679,124,75,-73,148,30.071
PB,BOM SUCESSO,19470,4882,344,419,3112,3124,192,75,12,63,11.826
PI,JÚLIO BORGES,12203,5247,343,418,2997,3040,175,75,43,32,12.088
PI,LANDRI SALES,11118,5137,432,507,2846,2828,92,75,-18,93,15.202
RS,ANDRÉ DA ROCHA,86100,1406,658,733,327,320,79,75,-7,82,69.611
SE,SANTA ROSA DE LIMA,32298,4660,765,840,2320,2310,160,75,-10,85,26.667
SP,TRABIJU,62448,1648,468,543,639,659,92,75,20,55,45.175
AL,OLHO D ÁGUA DO CASADO,28150,0,523,597,4522,4553,258,74,31,43,11.592
BA,LAFAIETE COUTINHO,36757,4485,512,586,2497,2584,108,74,87,-13,18.486
MA,GOVERNADOR ARCHER,7870,8100,1003,1077,4754,4931,230,74,177,-103,17.926
MT,NOVA MARILÂNDIA,90166,3028,1116,1190,779,773,83,74,-6,80,60.621
PB,SOSSÊGO,19283,3676,305,379,2189,2227,125,74,38,36,14.543
PI,SÃO JOÃO DA SERRA,11975,6920,782,856,4026,4008,243,74,-18,92,17.599
RS,CARLOS GOMES,86525,1397,512,586,574,591,52,74,17,57,49.788
RS,POUSO NOVO,85421,1660,698,772,593,606,68,74,13,61,56.023
SC,JARDINÓPOLIS,81140,1699,778,852,511,553,105,74,42,32,60.641
TO,TOCANTÍNIA,96199,5440,1035,1109,2854,2845,92,74,-9,83,28.048
MA,AXIXÁ,7218,11567,1480,1553,6314,6297,272,73,-17,90,19.783
MG,SÃO SEBASTIÃO DO RIO PRETO,52957,2059,500,573,695,716,74,73,21,52,44.453
