uf,municipio,codigo_tse,eleitores_2026,bolsonaro_1t,bolsonaro_2t,lula_1t,lula_2t,ciro_tebet_1t,ganho_bolsonaro,ganho_lula,ganho_liquido_direita,bolsonaro_2t_pct
SC,SÃO CARLOS,83151,8248,3787,4360,2502,2538,443,573,36,537,63.207
PR,ARARUNA,74314,10869,4680,5252,3423,3543,492,572,120,452,59.716
PR,TERRA RICA,79197,11809,5235,5807,3130,3287,467,572,157,415,63.855
AM,MANICORÉ,2577,33887,7486,8056,15479,15172,1050,570,-307,877,34.682
BA,TUCANO,39373,41914,5309,5879,23420,24048,1109,570,628,-58,19.644
PR,BITURUNA,74551,12818,3737,4306,5378,5366,484,569,-12,581,44.52
SE,LARANJEIRAS,31712,22117,4850,5418,10771,10985,1005,568,214,354,33.031
GO,ABADIÂNIA,92010,12617,5192,5759,2594,2774,512,567,180,387,67.491
PA,PORTO DE MOZ,5177,23774,5361,5928,10943,9949,706,567,-994,1561,37.337
SP,SÃO SIMÃO,71196,11183,4522,5089,3207,3452,786,567,245,322,59.583
SP,SANTA BRANCA,70211,11915,4765,5331,3116,3485,859,566,369,197,60.47
ES,CONCEIÇÃO DA BARRA,56316,26021,5250,5815,9740,9708,725,565,-32,597,37.461
ES,JOÃO NEIVA,56626,12809,5322,5887,3731,3933,534,565,202,363,59.949
MG,GUAPÉ,45616,10943,4537,5102,2881,3054,351,565,173,392,62.555
AL,DELMIRO GOUVEIA,27472,41487,4486,5050,22645,22688,1356,564,43,521,18.206
MG,CAPIM BRANCO,42498,8473,3083,3646,2589,2736,437,563,147,416,57.129
MG,ITAPAGIPE,46671,10403,3663,4226,3417,3599,495,563,182,381,54.006
PE,OURICURI,24970,48673,4455,5018,29600,30469,1087,563,869,-306,14.14
BA,ENTRE RIOS,35092,31227,4011,4573,17300,17696,940,562,396,166,20.535
BA,JAGUARARI,36552,23319,3380,3942,12274,12791,856,562,517,45,23.558
CE,CARNAUBAL,13676,14601,2377,2939,6933,7441,759,562,508,54,28.314
PE,TORITAMA,26077,35242,11140,11702,14495,14615,810,562,120,442,44.466
PI,JOSÉ DE FREITAS,11096,35375,3279,3840,22907,23601,1136,561,694,-133,13.994
MG,CAMPOS ALTOS,42293,10099,3759,4319,2818,2903,353,560,85,475,59.803
MG,ITAPEVA,46710,9529,3469,4029,2255,2475,357,560,220,340,61.946
SC,SÃO JOÃO DO SUL,83232,7402,3425,3985,1512,1572,486,560,60,500,71.711
CE,GUAIÚBA,13242,20910,3408,3967,11888,12275,882,559,387,172,24.424
RJ,SILVA JARDIM,59110,18703,8284,8843,5123,5452,757,559,329,230,61.861
SP,ITAPORANGA,65579,11030,4301,4860,3237,3487,522,559,250,309,58.225
PE,SÃO CAITANO,25615,30915,4683,5241,18056,18488,819,558,432,126,22.087
MA,PRESIDENTE DUTRA,8796,32911,7096,7653,15396,16054,804,557,658,-101,32.282
MS,RIBAS DO RIO PARDO,91413,16371,4865,5422,4387,4330,630,557,-57,614,55.599
AL,LAGOA DA CANOA,27812,17047,2722,3278,8047,8000,546,556,-47,603,29.065
SP,SANTA ADÉLIA,70130,10863,4617,5173,3028,3176,554,556,148,408,61.96
MA,COELHO NETO,7650,33427,3775,4330,18984,19785,910,555,801,-246,17.956
MG,PRUDENTE DE MORAIS,50717,8564,2817,3372,2993,3125,460,555,132,423,51.901
CE,MERUOCA,14656,13298,1447,2001,7237,7965,1289,554,728,-174,20.078
MG,LIMA DUARTE,47716,14529,2717,3270,7229,7765,604,553,536,17,29.633
PR,ALTO PARANÁ,74098,10432,4030,4583,3509,3731,432,553,222,331,55.124
RS,BALNEÁRIO PINHAL,88927,11072,3071,3623,3154,3198,553,552,44,508,53.115
BA,MUTUÍPE,37494,17990,2933,3484,9398,9774,622,551,376,175,26.278
MG,CARMO DE MINAS,42811,9828,3462,4013,3448,3663,462,551,215,336,52.28
MG,SERRA DO SALITRE,53350,9402,3451,4002,2948,3168,243,551,220,331,55.816
GO,SÃO SIMÃO,96059,13347,3993,4542,5454,5622,460,549,168,381,44.687
RN,CANGUARETAMA,16438,24705,3920,4469,13523,14049,778,549,526,23,24.133
AL,SÃO JOSÉ DA LAJE,28657,17853,4277,4825,7207,7030,645,548,-177,725,40.7
RO,NOVA BRASILÂNDIA D OESTE,370,0,6909,7457,2785,2854,500,548,69,479,72.321
RS,CONSTANTINA,86134,8097,3228,3776,2938,2976,335,548,38,510,55.924
AL,TEOTÔNIO VILELA,28932,31148,6515,7062,12651,12904,1060,547,253,294,35.37
BA,CÍCERO DANTAS,34550,26346,3889,4436,14472,15165,771,547,693,-146,22.631
MG,CAETANÓPOLIS,41971,8770,3266,3813,2756,2870,489,547,114,433,57.055
SP,HOLAMBRA,61743,12588,5945,6492,2857,3154,710,547,297,250,67.303
CE,JAGUARIBE,14397,29502,3605,4151,17139,17789,1164,546,650,-104,18.92
PR,PEABIRU,77577,9925,4036,4582,3247,3427,464,546,180,366,57.211
SC,LUIZ ALVES,81973,10219,6201,6747,1541,1617,394,546,76,470,80.667
ES,ITARANA,56570,9589,4024,4569,2498,2521,502,545,23,522,64.443
MG,UBAPORANGA,40860,10151,3909,4453,3255,3343,288,544,88,456,57.119
PA,BREU BRANCO,4448,32213,8732,9276,12627,12388,1141,544,-239,783,42.818
PR,IPORÃ,76058,12201,5401,5945,3204,3214,421,544,10,534,64.909
SC,BALNEÁRIO ARROIO DO SILVA,81728,13167,4756,5300,3115,3230,446,544,115,429,62.134
BA,BARRA DA ESTIVA,33553,21122,3367,3910,11769,12085,613,543,316,227,24.445
MG,PERDIGÃO,49930,8537,4350,4892,1545,1586,311,542,41,501,75.517
MT,NOVA OLÍMPIA,98736,12979,3914,4456,4680,4795,364,542,115,427,48.168
SC,ABELARDO LUZ,80012,12651,5143,5685,3942,3944,288,542,2,540,59.04
CE,PINDORETAMA,13285,21291,3693,4234,10761,11350,745,541,589,-48,27.169
PR,SÃO JOÃO DO IVAÍ,78751,9065,2973,3514,3287,3406,392,541,119,422,50.78
RS,DOM FELICIANO,86274,10394,3205,3746,4379,4272,473,541,-107,648,46.72
RS,MOSTARDAS,87513,9261,3259,3800,2826,2987,613,541,161,380,55.989
RO,ALVORADA DO OESTE,337,11084,4766,5306,2819,2933,420,540,114,426,64.401
SC,GRAVATAL,81213,9449,5152,5692,1692,1733,362,540,41,499,76.66
SP,TAPIRATIBA,71730,9235,3362,3902,3502,3667,550,540,165,375,51.552
ES,PINHEIROS,56812,18835,4641,5180,8069,8064,597,539,-5,544,39.112
MS,TERENOS,91596,13858,4542,5081,4669,4656,851,539,-13,552,52.182
PA,OURILÂNDIA DO NORTE,5959,25909,9605,10144,6496,6435,644,539,-61,600,61.186
PE,SÃO BENTO DO UNA,25593,38257,5927,6466,19472,19814,902,539,342,197,24.604
PR,ENGENHEIRO BELTRÃO,75477,10078,4485,5024,3101,3197,456,539,96,443,61.112
RJ,CANTAGALO,58211,15180,5891,6430,5231,5613,743,539,382,157,53.392
PA,MOJUÍ DOS CAMPOS,4863,24210,8614,9152,6211,6351,885,538,140,398,59.034
ES,ITAGUAÇU,56537,11761,4287,4824,3701,3701,529,537,0,537,56.587
MA,PEDREIRAS,8613,28106,7149,7686,14227,14738,813,537,511,26,34.276
PI,URUÇUÍ,12238,18974,3682,4218,9581,9697,593,536,116,420,30.313
SP,ROSANA,61166,14313,3990,4526,5302,5512,599,536,210,326,45.089
MA,SÃO MATEUS DO MARANHÃO,9237,30191,4386,4920,15212,15870,616,534,658,-124,23.665
MG,DORES DE CAMPOS,44598,8088,2695,3229,2952,3240,514,534,288,246,49.915
RN,SÃO PAULO DO POTENGI,18490,14701,4257,4791,6085,6357,527,534,272,262,42.976
SC,URUBICI,83712,8161,4141,4675,1733,1812,324,534,79,455,72.067
CE,JUCÁS,14494,20278,2416,2949,10979,11913,1051,533,934,-401,19.843
MG,CARMO DA MATA,42790,9626,2550,3083,4287,4505,521,533,218,315,40.63
MG,ÁGUAS FORMOSAS,40177,14527,4049,4582,5940,6451,433,533,511,22,41.53
RN,SANTO ANTÔNIO,18295,19155,3415,3948,10080,10692,689,533,612,-79,26.967
PR,MOREIRA SALES,77070,9168,3943,4475,2933,3024,321,532,91,441,59.675
BA,ANTAS,33316,10613,1960,2491,5699,5682,357,531,-17,548,30.478
MA,ZÉ DOCA,9717,33088,5782,6313,17096,17461,823,531,365,166,26.554
PE,BARREIROS,23272,30558,7283,7814,14124,14258,733,531,134,397,35.402
RO,CEREJEIRAS,272,13296,7323,7854,1953,1990,435,531,37,494,79.785
SC,ÁGUAS MORNAS,80110,6500,3162,3693,1298,1389,451,531,91,440,72.668
MS,NOVA ALVORADA DO SUL,55000,16259,5383,5913,4832,4784,519,530,-48,578,55.277
SP,BÁLSAMO,61956,7405,3353,3883,1761,1919,528,530,158,372,66.925
PR,CAPITÃO LEÔNIDAS MARQUES,74896,11877,4547,5076,4121,4235,438,529,114,415,54.516
PR,SÃO JOÃO,78719,9187,3711,4240,3160,3172,326,529,12,517,57.205
RJ,PORCIÚNCULA,58815,13329,4182,4711,5286,5510,600,529,224,305,46.091
RN,TOUROS,18856,28146,6809,7338,12838,13053,850,529,215,314,35.986
SC,SANGÃO,81000,8878,5036,5565,1418,1404,272,529,-14,543,79.854
SP,PRESIDENTE BERNARDES,69256,10227,4399,4928,2988,3215,421,529,227,302,60.518
BA,CARINHANHA,34410,22389,4943,5471,11160,11413,613,528,253,275,32.403
RS,CRISSIUMAL,86177,10502,4116,4644,3694,3790,509,528,96,432,55.063
SC,DESCANSO,80950,7243,3225,3753,2058,2123,411,528,65,463,63.87
MG,ILICÍNEA,46094,9950,3241,3768,3793,3968,340,527,175,352,48.707
PR,ANTONIO OLINTO,74233,0,2242,2769,2403,2525,413,527,122,405,52.304
BA,REMANSO,38210,32317,3628,4154,19164,19893,794,526,729,-203,17.275
MG,ABRE CAMPO,40053,12140,3139,3665,5004,5292,401,526,288,238,40.918
MG,TARUMIRIM,53678,10170,3075,3600,3756,3908,216,525,152,373,47.949
PE,NAZARÉ DA MATA,24899,25711,6893,7418,12228,12750,670,525,522,3,36.781
BA,ARACI,33413,40357,3682,4206,23385,24379,1121,524,994,-470,14.714
ES,LARANJA DA TERRA,57916,9502,4090,4614,2756,2798,402,524,42,482,62.25
MG,BOM REPOUSO,41572,10222,3206,3730,3431,3604,385,524,173,351,50.859
MG,ITAMBACURI,46531,18436,3338,3862,7693,8030,382,524,337,187,32.476
SC,BALNEÁRIO BARRA DO SUL,80683,11432,5285,5809,2164,2303,393,524,139,385,71.61
BA,MORRO DO CHAPÉU,37354,26224,3608,4131,14845,15165,819,523,320,203,21.409
ES,CONCEIÇÃO DO CASTELO,56332,9986,4605,5128,2000,2168,474,523,168,355,70.285
SC,CATANDUVAS,80772,8138,3770,4293,2528,2539,343,523,11,512,62.837
BA,SANTA CRUZ CABRÁLIA,38555,25615,5392,5914,9605,9778,630,522,173,349,37.688
ES,MONTANHA,56693,15438,4283,4805,5844,5755,480,522,-89,611,45.502
MS,ITAPORÃ,90891,14213,6452,6974,3854,3964,537,522,110,412,63.759
PB,PICUÍ,21296,15102,2538,3060,8346,8593,705,522,247,275,26.259
PR,JOAQUIM TÁVORA,76490,9236,3916,4438,2644,2789,357,522,145,377,61.409
RS,CERRO LARGO,86010,10227,3575,4097,4010,4099,589,522,89,433,49.988
SP,BURI,62618,14893,6441,6963,4317,4551,480,522,234,288,60.474
PI,COCAL,10537,23456,3113,3634,12642,13174,629,521,532,-11,21.621
SC,IRANI,81531,7732,3415,3936,2233,2316,353,521,83,438,62.956
MG,ITAOBIM,46655,16917,4077,4597,6506,6693,438,520,187,333,40.717
RS,BOM JESUS,85456,8602,2740,3260,3086,3048,434,520,-38,558,51.68
RS,CIDREIRA,85804,12758,3403,3923,3806,3884,652,520,78,442,50.25
RS,ARVOREZINHA,85278,8666,4195,4714,2307,2394,322,519,87,432,66.32
ES,MARILÂNDIA,57070,10886,4759,5277,2986,3064,422,518,78,440,63.266
RS,TERRA DE AREIA,85162,7790,3070,3588,2291,2390,552,518,99,419,60.02
SC,SAUDADES,83410,7604,3720,4238,2265,2313,412,518,48,470,64.692
CE,OCARA,13307,25228,4226,4742,14025,14105,1144,516,80,436,25.161
MG,NOVO CRUZEIRO,49050,25021,2891,3407,10489,11217,484,516,728,-212,23.297
MT,SÃO JOSÉ DO RIO CLARO,91995,11238,6014,6530,1937,1974,256,516,37,479,76.787
PR,PÉROLA,79693,9529,3938,4454,2672,2767,319,516,95,421,61.681
BA,SÃO SEBASTIÃO DO PASSÉ,38890,34132,3069,3584,22275,23045,1061,515,770,-255,13.459
MS,BONITO,90433,19351,7340,7855,5113,5191,696,515,78,437,60.21
PA,SÃO DOMINGOS DO CAPIM,5436,25167,3948,4463,13427,13597,1315,515,170,345,24.712
PR,SANTA TEREZA DO OESTE,74080,10292,3954,4469,2950,2969,376,515,19,496,60.083
SC,IRINEÓPOLIS,81558,8238,3679,4194,2252,2285,376,515,33,482,64.732
PB,SOLÂNEA,22217,22230,3812,4326,11154,11616,893,514,462,52,27.136
RN,NÍSIA FLORESTA,17639,23428,6200,6714,9763,10013,672,514,250,264,40.139
MG,ARAÚJOS,40770,6638,2705,3218,2003,2017,271,513,14,499,61.471
SP,PARIQUERA-AÇU,68250,14338,6852,7365,3274,3595,696,513,321,192,67.199
TO,ARAGUATINS,92436,22430,6028,6541,9258,9462,843,513,204,309,40.874
MG,IPABA,40266,13865,4501,5013,4752,4878,389,512,126,386,50.682
MT,NOVA CANAÃ DO NORTE,98752,10274,4769,5281,1855,1911,325,512,56,456,73.429
SP,LUÍS ANTÔNIO,66532,10074,3384,3896,3302,3416,484,512,114,398,53.282
BA,NAZARÉ,37516,22122,3307,3818,12977,13124,658,511,147,364,22.536
MT,CHAPADA DOS GUIMARÃES,90590,17984,5722,6233,6127,6179,581,511,52,459,50.218
PR,CANDÓI,74225,12055,3607,4118,5035,5051,369,511,16,495,44.912
RJ,RIO CLARO,58874,14718,5163,5673,5649,5989,679,510,340,170,48.645
RS,ARROIO DO SAL,85308,9517,3306,3816,2049,2191,547,510,142,368,63.526
MT,COMODORO,99015,14358,6301,6810,3082,3120,319,509,38,471,68.58
BA,ITUAÇU,36455,15642,2949,3456,8148,8482,482,507,334,173,28.95
ES,SÃO ROQUE DO CANAÃ,56162,9895,3952,4459,2972,3061,426,507,89,418,59.295
SC,ANTÔNIO CARLOS,80233,9360,5394,5901,1170,1271,429,507,101,406,82.278
MT,ALTO ARAGUAIA,90050,11552,5007,5513,3188,3245,379,506,57,449,62.948
CE,INDEPENDÊNCIA,14133,21285,3433,3938,11777,11897,859,505,120,385,24.869
GO,PIRANHAS,95419,9116,3480,3985,3146,3231,329,505,85,420,55.225
MG,CAPITÓLIO,42552,8265,3171,3676,2230,2319,295,505,89,416,61.318
MG,TURMALINA,53937,16580,2976,3481,8085,8423,494,505,338,167,29.242
CE,QUIXERÉ,15318,18916,2874,3378,10463,11090,861,504,627,-123,23.348
ES,PANCAS,56790,15892,5331,5835,5036,5026,513,504,-10,514,53.724
RN,MACAU,17434,22622,3193,3697,12746,13159,849,504,413,91,21.933
MG,JACUÍ,46957,6413,2820,3323,1221,1391,315,503,170,333,70.492
RS,CHAPADA,86037,7709,3569,4072,2413,2451,449,503,38,465,62.425
SC,CANELINHA,80713,10132,5076,5579,1795,1881,321,503,86,417,74.786
SP,DIVINOLÂNDIA,63797,9524,4445,4948,2168,2380,508,503,212,291,67.522
ES,MARECHAL FLORIANO,56103,14387,5987,6489,3598,3851,729,502,253,249,62.756
SP,JACUPIRANGA,65935,12371,5772,6274,2799,2981,526,502,182,320,67.79
MG,CÓRREGO FUNDO,41947,5395,1897,2398,1598,1745,438,501,147,354,57.881
RS,TRÊS CACHOEIRAS,85367,8197,4357,4858,1796,1884,442,501,88,413,72.056
BA,CAMAMU,34150,24642,5185,5685,11173,11332,851,500,159,341,33.408
MG,ITAMOGI,46574,9077,3225,3725,2982,3196,366,500,214,286,53.822
MG,PEÇANHA,49719,11996,2533,3033,5470,5785,356,500,315,185,34.396
ES,PEDRO CANÁRIO,57150,18957,4671,5170,7320,7296,585,499,-24,523,41.473
PE,ALIANÇA,23132,29251,5480,5979,14651,14929,586,499,278,221,28.597
PR,PORECATU,77798,9626,3397,3896,3522,3650,424,499,128,371,51.63
SP,JOANÓPOLIS,66117,9463,4425,4924,2232,2446,541,499,214,285,66.811
BA,ESPLANADA,35114,27034,3561,4059,15155,15520,684,498,365,133,20.731
SC,ALFREDO WAGNER,80136,8144,4236,4733,1737,1823,452,497,86,411,72.193
BA,MONTE SANTO,37311,41915,3250,3746,26669,27549,857,496,880,-384,11.97
ES,ICONHA,56510,11410,4996,5492,3132,3269,549,496,137,359,62.687
BA,PLANALTO,38016,20288,3671,4166,10085,10576,828,495,491,4,28.259
CE,PEDRA BRANCA,15113,34696,2586,3081,21436,21884,1057,495,448,47,12.341
ES,GOVERNADOR LINDENBERG,56308,9111,2837,3332,3254,3279,383,495,25,470,50.401
MG,MATIAS BARBOSA,48151,12010,3603,4098,4975,5365,511,495,390,105,43.306
MT,NOBRES,91170,12514,5659,6154,2833,2806,368,495,-27,522,68.683
SC,IMARUÍ,81418,10208,3577,4072,3274,3460,434,495,186,309,54.063
SC,MAJOR VIEIRA,82031,6055,2325,2820,1852,1971,459,495,119,376,58.86
BA,IBICARAÍ,35416,17920,4322,4816,8693,8862,630,494,169,325,35.21
BA,SERRA DO RAMALHO,39047,26100,3809,4303,14191,14393,574,494,202,292,23.016
SE,ITAPORANGA D AJUDA,31631,0,5636,6130,14184,14777,1296,494,593,-99,29.32
RS,SINIMBU,87947,6828,2579,3072,2761,2649,418,493,-112,605,53.697
MA,ROSÁRIO,8915,32419,4756,5248,17827,18145,1164,492,318,174,22.434
MG,LUISBURGO,40983,5861,2227,2719,1647,1816,287,492,169,323,59.956
MA,ITINGA DO MARANHÃO,7722,17576,5730,6221,7039,7017,512,491,-22,513,46.994
MG,MALACACHETA,47830,15595,2933,3424,6271,6655,413,491,384,107,33.972
MG,SÃO JOÃO DA PONTE,52477,23030,2322,2813,11526,12030,492,491,504,-13,18.952
PA,SANTA BÁRBARA DO PARÁ,4243,18390,5177,5668,7127,7489,1064,491,362,129,43.08
SC,AGROLÂNDIA,80039,8212,4969,5460,1318,1325,218,491,7,484,80.472
MG,CONCEIÇÃO DO RIO VERDE,43532,10417,2761,3251,4281,4487,374,490,206,284,42.013
PA,PORTEL,5150,41846,7865,8354,16823,16351,1582,489,-472,961,33.815
RJ,CARDOSO MOREIRA,58068,12634,4974,5463,3252,3465,378,489,213,276,61.19
SP,BORBOREMA,62472,10752,5260,5749,2421,2702,533,489,281,208,68.027
CE,URUBURETAMA,15776,18753,3243,3731,10153,10554,787,488,401,87,26.118
PE,CHÃ GRANDE,23892,18879,4207,4695,9718,10138,507,488,420,68,31.652
PE,ITAMBÉ,25976,24489,4634,5122,12837,13209,562,488,372,116,27.942
AL,BOCA DA MATA,27197,19773,4872,5359,7789,7724,709,487,-65,552,40.962
MG,SANTA CRUZ DE MINAS,41467,6475,2378,2865,2137,2275,378,487,138,349,55.739
MT,SANTO ANTÔNIO DO LEVERGER,91553,17177,5343,5830,6753,6651,624,487,-102,589,46.711
PR,CÉU AZUL,79570,8799,4921,5408,1669,1770,349,487,101,386,75.341
SC,LEBON RÉGIS,81914,8748,2543,3030,3671,3624,255,487,-47,534,45.537
SE,NOSSA SENHORA DA GLÓRIA,31895,30483,4524,5011,17024,17457,1044,487,433,54,22.303
SP,CARDOSO,63150,9627,3344,3831,3070,3147,320,487,77,410,54.901
GO,PARAÚNA,95230,9282,3502,3988,2509,2681,300,486,172,314,59.799
SP,MIRANTE DO PARANAPANEMA,67059,12737,3529,4015,5551,5727,487,486,176,310,41.213
SC,APIÚNA,80063,8389,4401,4886,1705,1701,256,485,-4,489,74.176
SP,ILHA COMPRIDA,62006,13354,4224,4709,3360,3593,573,485,233,252,56.721
SP,PACAEMBU,67997,7541,3522,4007,1935,2074,439,485,139,346,65.894
BA,CACHOEIRA,33979,26095,2713,3197,15921,16132,697,484,211,273,16.54
GO,NOVA VENEZA,94978,8559,3068,3552,2509,2669,403,484,160,324,57.097
MA,PINDARÉ-MIRIM,8672,26030,3820,4304,14194,14222,678,484,28,456,23.232
PA,IPIXUNA DO PARÁ,4189,24719,5288,5772,11077,11127,947,484,50,434,34.156
BA,ITAPICURU,36315,23506,2266,2749,13715,14442,642,483,727,-244,15.991
ES,MUQUI,56758,11087,4167,4650,3840,3917,571,483,77,406,54.278
GO,URUANA,96350,10818,4185,4668,3333,3506,450,483,173,310,57.108
MA,CAROLINA,7536,18368,4435,4918,8344,8577,526,483,233,250,36.443
MG,COQUEIRAL,43737,7806,2664,3147,2551,2700,382,483,149,334,53.822
PA,AFUÁ,4057,29810,5785,6268,12781,12643,2037,483,-138,621,33.145
RS,SEBERI,89052,9377,3747,4230,3248,3257,437,483,9,474,56.498
MG,ASTOLFO DUTRA,40916,10826,3665,4147,4266,4398,322,482,132,350,48.531
ES,JERÔNIMO MONTEIRO,56618,10088,3564,4045,3273,3227,488,481,-46,527,55.624
MG,BOM JESUS DO GALHO,41556,12078,3709,4190,4865,5194,283,481,329,152,44.65
MG,CARMO DA CACHOEIRA,42773,9459,2407,2888,3788,4143,480,481,355,126,41.075
MG,BICAS,41378,11602,3470,3950,4428,4693,580,480,265,215,45.702
MG,PIRANGUINHO,50199,7302,2552,3032,2403,2603,410,480,200,280,53.807
PI,PIRACURUCA,11657,25896,3650,4130,14425,14610,645,480,185,295,22.038
ES,FUNDÃO,56430,14771,4955,5434,5072,5120,585,479,48,431,51.488
GO,EDÉIA,93491,9560,3763,4242,3011,3111,393,479,100,379,57.691
MG,SANTA BÁRBARA DO LESTE,40649,6933,2413,2892,2611,2726,227,479,115,364,51.477
MG,PIRAÚBA,50253,9673,2722,3200,4158,4356,282,478,198,280,42.35
PB,ALAGOA NOVA,19070,16606,2243,2721,8721,9259,845,478,538,-60,22.713
PR,JARDIM ALEGRE,76430,9022,3455,3933,3297,3385,350,478,88,390,53.744
RS,PARAÍ,87831,5984,3410,3888,1133,1233,387,478,100,378,75.923
PR,CÂNDIDO DE ABREU,74853,11748,4339,4816,3842,4058,524,477,216,261,54.271
SC,MONTE CARLO,80004,6993,2297,2772,2754,2796,291,475,42,433,49.784
SC,QUILOMBO,82791,8088,3336,3811,3031,3103,352,475,72,403,55.12
SE,NOSSA SENHORA DAS DORES,31917,21445,5199,5674,9935,10302,977,475,367,108,35.516
MG,GUIMARÂNIA,45772,6669,2382,2856,2281,2396,345,474,115,359,54.379
BA,FORMOSA DO RIO PRETO,35211,20871,3774,4247,10304,10674,545,473,370,103,28.463
BA,MARACÁS,37117,21746,2878,3351,11856,12388,624,473,532,-59,21.291
BA,PÉ DE SERRA,39810,12227,2413,2886,5988,6191,550,473,203,270,31.795
PA,PONTA DE PEDRAS,5134,23373,3667,4140,12296,12129,976,473,-167,640,25.447
PA,SÃO DOMINGOS DO ARAGUAIA,4464,15430,4571,5044,6668,6761,579,473,93,380,42.728
PE,GLÓRIA DO GOITÁ,24210,23493,3880,4353,12857,13365,465,473,508,-35,24.568
SC,GRÃO-PARÁ,81191,5620,3267,3740,1045,1028,239,473,-17,490,78.44
SP,IPAUSSU,65196,10000,4415,4888,2786,3009,574,473,223,250,61.897
SP,ESTIVA GERBI,61662,9491,4278,4750,2378,2452,494,472,74,398,65.954
BA,MURITIBA,37478,23760,2452,2923,13585,14163,701,471,578,-107,17.108
BA,PRADO,38113,25893,6936,7407,9505,9568,506,471,63,408,43.635
MA,ARAIOSES,7170,32700,3247,3718,19250,19925,851,471,675,-204,15.726
MG,DESTERRO DE ENTRE RIOS,44270,6447,2336,2807,1718,1948,395,471,230,241,59.033
MT,QUERÊNCIA,90069,19045,7473,7944,2786,2623,242,471,-163,634,75.177
PA,GOIANÉSIA DO PARÁ,4006,21444,6085,6556,9008,8674,803,471,-334,805,43.047
PB,PEDRAS DE FOGO,21253,25277,5349,5820,11992,12482,946,471,490,-19,31.8
PR,NOVA LONDRINA,77259,9758,3740,4211,3190,3272,345,471,82,389,56.274
SC,BENEDITO NOVO,80438,8300,5129,5600,1009,1089,321,471,80,391,83.72
SC,TANGARÁ,83534,6635,3473,3944,1483,1506,317,471,23,448,72.367
AL,JUNQUEIRO,27790,20208,4195,4665,9073,9065,816,470,-8,478,33.977
PA,RIO MARIA,5690,13867,5618,6088,4344,4303,463,470,-41,511,58.589
PR,TEIXEIRA SOARES,79138,8093,3250,3720,2488,2569,452,470,81,389,59.151
SE,POÇO VERDE,32093,19535,2704,3174,10838,11247,906,470,409,61,22.01
SP,JUQUIÁ,66230,15252,6149,6618,3943,4161,660,469,218,251,61.397
MG,IBIRACI,45934,9473,3637,4105,2836,2985,298,468,149,319,57.898
MG,MONSENHOR PAULO,48518,6969,2281,2749,2503,2667,305,468,164,304,50.757
PE,RIACHO DAS ALMAS,25330,20977,4108,4576,11358,11721,467,468,363,105,28.079
RN,AREZ,16233,11515,2362,2829,5985,6193,389,467,208,259,31.357
SP,ITIRAPINA,65730,10412,3995,4461,2961,3090,446,466,129,337,59.078
MG,SÃO JOÃO DO MANHUAÇU,40720,9836,3460,3925,3356,3520,192,465,164,301,52.72
SP,DUARTINA,63916,9874,4023,4488,2915,3146,489,465,231,234,58.79
CE,CROATÁ,15881,15354,1467,1931,8365,8978,814,464,613,-149,17.701
MG,PIEDADE DE CARATINGA,41343,7811,2772,3236,2556,2635,184,464,79,385,55.118
RS,ROCA SALES,88196,7676,3740,4204,2122,2174,550,464,52,412,65.914
CE,COREAÚ,13811,19775,2643,3106,10985,11673,1249,463,688,-225,21.016
MG,RESPLENDOR,50857,12763,5284,5747,3104,3259,302,463,155,308,63.813
PE,BOM JARDIM,23434,30693,4817,5280,17080,17305,632,463,225,238,23.378
PR,NOVA AURORA,79650,9646,4841,5304,2776,2861,344,463,85,378,64.96
RS,TENENTE PORTELA,89311,10719,3373,3836,4483,4430,479,463,-53,516,46.407
BA,AMÉLIA RODRIGUES,33219,19660,2458,2919,11548,11878,728,461,330,131,19.727
PR,JAGUAPITÃ,76317,11077,4666,5127,2841,3037,371,461,196,265,62.8
ES,BREJETUBA,56146,10994,3689,4149,3013,2941,417,460,-72,532,58.519
MG,BALDIM,40991,7096,2160,2620,2670,2808,433,460,138,322,48.268
MG,IGARATINGA,46035,8345,3191,3651,2678,2763,297,460,85,375,56.922
PI,MIGUEL ALVES,11231,27734,2531,2991,15013,15287,789,460,274,186,16.364
RS,TAPERA,89230,7902,3382,3842,2783,2772,356,460,-11,471,58.089
SC,PESCARIA BRAVA,83925,8438,3438,3898,2583,2615,475,460,32,428,59.85
GO,ARAGOIÂNIA,92355,10220,3290,3749,2909,2997,409,459,88,371,55.574
MA,PORTO FRANCO,8770,18891,4881,5340,8261,8382,604,459,121,338,38.916
SC,TREZE DE MAIO,83615,6529,4135,4594,929,940,277,459,11,448,83.014
PI,BOM JESUS,10375,19880,4165,4623,10360,10554,698,458,194,264,30.461
AM,LÁBREA,2518,29413,5785,6242,12010,11683,829,457,-327,784,34.823
SP,IBIRÁ,64890,9099,4369,4826,2100,2239,334,457,139,318,68.309
SE,CAPELA,31259,27118,5036,5492,12858,13184,1041,456,326,130,29.407
RS,SANTA BÁRBARA DO SUL,88374,6733,3088,3543,2136,2086,295,455,-50,505,62.942
SP,MIRACATU,66990,15335,6345,6800,3876,4194,642,455,318,137,61.852
AL,SATUBA,28770,15448,4519,4973,4732,4646,661,454,-86,540,51.7
CE,LAVRAS DA MANGABEIRA,14516,24293,2264,2718,13969,14941,1338,454,972,-518,15.392
SP,GUAREÍ,64718,8906,4028,4482,2328,2466,471,454,138,316,64.508
